Model,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.7238627294493216,0.7498955339920583,0.7238627294493216,0.7143648217047863
Logistic Regression,0.8874700718276137,0.889152988550362,0.8874700718276137,0.8861388069351378
