Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Logistic Regression,0.9741055440469084,0.057803468208092484,0.9183673469387755,0.10876132930513595,0.9708434302252134,0.724469435669471
Random Forest,0.9994908886626171,0.8709677419354839,0.826530612244898,0.8481675392670157,0.9684509513569075,0.8723312785942332
